Fecha,Operador_logistíco,Sede,Nombre_Categoria,Nombre_Material,Cantidad_kg,Unnamed: 6,YEAR,MONTH
2018-01-28,Recuperar,Medellín,Papeles y Cartones,Cartón,842.0,0.0,2018,Ene
2018-01-28,Recuperar,Medellín,Papeles y Cartones,Periódico,393.0,0.0,2018,Ene
2018-01-28,Recuperar,Medellín,Papeles y Cartones,Plega,245.0,0.0,2018,Ene
2018-01-28,Recuperar,Medellín,Plásticos,Pasta,614.0,0.0,2018,Ene
2018-01-28,Recuperar,Medellín,Plásticos,Plega,115.0,0.0,2018,Ene
2018-01-28,Recuperar,Medellín,Plásticos,Plástico,179.0,0.0,2018,Ene
2018-01-28,Recuperar,Medellín,Vidrios,Vidrio,479.0,0.0,2018,Ene
2018-02-28,Recuperar,Medellín,Metales,Aluminio,9.0,0.0,2018,Feb
2018-02-28,Recuperar,Medellín,Metales,Chatarra,102.0,0.0,2018,Feb
2018-02-28,Recuperar,Medellín,Otros,Palos de Escoba,0.0,0.0,2018,Feb
2018-02-28,Recuperar,Medellín,Papeles y Cartones,Archivo,2037.0,0.0,2018,Feb
2018-02-28,Recuperar,Medellín,Papeles y Cartones,Cartón,2015.0,0.0,2018,Feb
2018-02-28,Recuperar,Medellín,Papeles y Cartones,Periódico,411.0,0.0,2018,Feb
2018-02-28,Recuperar,Medellín,Papeles y Cartones,Plega,224.0,0.0,2018,Feb
2018-02-28,Recuperar,Medellín,Plásticos,Pasta,692.0,0.0,2018,Feb
2018-02-28,Recuperar,Medellín,Plásticos,Plega,252.0,0.0,2018,Feb
2018-02-28,Recuperar,Medellín,Plásticos,Plástico,354.0,0.0,2018,Feb
2018-02-28,Recuperar,Medellín,Vidrios,Vidrio,712.0,0.0,2018,Feb
2018-03-28,Recuperar,Medellín,Metales,Aluminio,17.0,0.0,2018,Mar
2018-03-28,Recuperar,Medellín,Metales,Chatarra,2379.0,0.0,2018,Mar
2018-03-28,Recuperar,Medellín,Otros,Palos de Escoba,76.0,0.0,2018,Mar
2018-03-28,Recuperar,Medellín,Papeles y Cartones,Archivo,1779.0,0.0,2018,Mar
2018-03-28,Recuperar,Medellín,Papeles y Cartones,Cartón,1595.0,0.0,2018,Mar
2018-03-28,Recuperar,Medellín,Papeles y Cartones,Periódico,355.0,0.0,2018,Mar
2018-03-28,Recuperar,Medellín,Papeles y Cartones,Plega,321.0,0.0,2018,Mar
2018-03-28,Recuperar,Medellín,Plásticos,Pasta,858.0,0.0,2018,Mar
2018-03-28,Recuperar,Medellín,Plásticos,Plega,319.0,0.0,2018,Mar
2018-03-28,Recuperar,Medellín,Plásticos,Plástico,596.0,0.0,2018,Mar
2018-03-28,Recuperar,Medellín,Vidrios,Vidrio,704.0,0.0,2018,Mar
